Sukhumi,Bridgetown,"{""destination_addresses""=>[""Bridgetown, Barbados""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Minsk,"{""destination_addresses""=>[""Minsk, Belarus""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""2,264 km"", ""value""=>2263584}, ""duration""=>{""text""=>""1 day 5 hours"", ""value""=>106128}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Brussels,"{""destination_addresses""=>[""Brussels, Belgium""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""3,492 km"", ""value""=>3491922}, ""duration""=>{""text""=>""1 day 20 hours"", ""value""=>159462}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Belmopan,"{""destination_addresses""=>[""Belmopan, Belize""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Porto-Novo,"{""destination_addresses""=>[""Porto Novo, Benin""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""8,580 km"", ""value""=>8579663}, ""duration""=>{""text""=>""5 days 3 hours"", ""value""=>442512}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Hamilton,"{""destination_addresses""=>[""2601 Walnut St, Coffeyville, KS 67337, USA""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Thimphu,"{""destination_addresses""=>[""Thimphu, Bhutan""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Sucre,"{""destination_addresses""=>[""622 Conti St, New Orleans, LA 70130, USA""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,La Paz,"{""destination_addresses""=>[""La Paz, Bolivia""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Sarajevo,"{""destination_addresses""=>[""Sarajevo, Bosnia and Herzegovina""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""2,656 km"", ""value""=>2656245}, ""duration""=>{""text""=>""1 day 9 hours"", ""value""=>118092}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Gaborone,"{""destination_addresses""=>[""Gaborone, Botswana""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""10,675 km"", ""value""=>10675053}, ""duration""=>{""text""=>""7 days 6 hours"", ""value""=>626694}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Brasilia,"{""destination_addresses""=>[""Brasilia - Federal District, Brazil""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Road Town,"{""destination_addresses""=>[""Road Town, British Virgin Islands""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Bandar Seri Begawan,"{""destination_addresses""=>[""Bandar Seri Begawan, Brunei""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Sofia,"{""destination_addresses""=>[""Sofia, Bulgaria""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""2,045 km"", ""value""=>2044943}, ""duration""=>{""text""=>""1 day 0 hours"", ""value""=>87159}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
